transaction_id,transaction_number,total_amount,status,created_at,updated_at,cashier_user_id,customer_user_id,items,payments
128,T-08-20251205012925-1334,8.00,completed,Fri Dec 05 2025 09:29:37 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 09:30:37 GMT+0800 (Philippine Standard Time),9,,8 x1@8,cash received:8 change:0
129,T-08-20251205013213-9229,8.00,completed,Fri Dec 05 2025 09:32:34 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 09:32:41 GMT+0800 (Philippine Standard Time),9,,8 x1@8,cash received:8 change:0
130,T-08-20251205020056-9366,37.00,completed,Fri Dec 05 2025 10:02:35 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 10:02:49 GMT+0800 (Philippine Standard Time),9,,10 x1@7; 14 x1@30,cash received:37 change:0
131,T-08-20251205020422-6949,8.00,completed,Fri Dec 05 2025 10:04:35 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 10:04:52 GMT+0800 (Philippine Standard Time),9,166,8 x1@8,cash received:8 change:0
132,T-08-20251205025917-8780,45.00,completed,Fri Dec 05 2025 11:00:00 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 11:00:09 GMT+0800 (Philippine Standard Time),9,169,14 x1@30; 8 x1@8; 10 x1@7,cash received:45 change:0
133,T-08-20251205030843-7287,8.00,completed,Fri Dec 05 2025 11:09:26 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 11:10:01 GMT+0800 (Philippine Standard Time),12,170,8 x1@8,cash received:8 change:0
134,T-08-20251205031655-3720,38.00,completed,Fri Dec 05 2025 11:17:27 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 11:17:51 GMT+0800 (Philippine Standard Time),12,171,8 x1@8; 14 x1@30,cash received:38 change:0
135,T-08-20251205065106-9811,70.00,completed,Fri Dec 05 2025 14:51:37 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 14:52:19 GMT+0800 (Philippine Standard Time),12,173,18 x1@70,cash received:70 change:0
136,T-8-20251205074642-6095,10.00,completed,Fri Dec 05 2025 15:47:08 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 15:47:08 GMT+0800 (Philippine Standard Time),9,,19 x1@10,cash received:10 change:0
137,T-08-20251205074742-3870,10.00,completed,Fri Dec 05 2025 15:48:25 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 15:49:18 GMT+0800 (Philippine Standard Time),9,174,19 x1@10,cash received:10 change:0
138,T-08-20251205075456-8269,10.00,completed,Fri Dec 05 2025 15:54:55 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 15:54:55 GMT+0800 (Philippine Standard Time),175,,19 x1@10,gcash received:10 change:0
139,T-8-20251205084326-9342,160.00,completed,Fri Dec 05 2025 16:43:45 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 16:43:45 GMT+0800 (Philippine Standard Time),9,,20 x1@160,cash received:160 change:0
140,T-08-20251205084421-4358,160.00,completed,Fri Dec 05 2025 16:44:55 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 16:45:14 GMT+0800 (Philippine Standard Time),9,176,20 x1@160,cash received:160 change:0
141,T-08-20251205084549-8785,160.00,completed,Fri Dec 05 2025 16:46:26 GMT+0800 (Philippine Standard Time),Fri Dec 05 2025 16:46:26 GMT+0800 (Philippine Standard Time),175,,20 x1@160,cash received:160 change:0
143,T-08-20251206161205-1994,8.00,completed,Sun Dec 07 2025 00:15:03 GMT+0800 (Philippine Standard Time),Sun Dec 07 2025 00:15:37 GMT+0800 (Philippine Standard Time),9,193,8 x1@8,cash received:8 change:0
144,T-08-20251206161628-2301,8.00,completed,Sun Dec 07 2025 00:18:45 GMT+0800 (Philippine Standard Time),Sun Dec 07 2025 00:19:20 GMT+0800 (Philippine Standard Time),9,194,8 x1@8,cash received:8 change:0
145,T-8-20251207163417-1456,70.00,completed,Mon Dec 08 2025 00:35:16 GMT+0800 (Philippine Standard Time),Mon Dec 08 2025 00:35:16 GMT+0800 (Philippine Standard Time),9,,21 x1@70,cash received:100 change:30
148,T-08-20251209054531-2265,8.00,completed,Tue Dec 09 2025 13:46:19 GMT+0800 (Philippine Standard Time),Tue Dec 09 2025 13:46:39 GMT+0800 (Philippine Standard Time),12,202,8 x1@8,cash received:8 change:0
151,T-08-20251209152845-5081,8.00,pending,Tue Dec 09 2025 23:29:11 GMT+0800 (Philippine Standard Time),Tue Dec 09 2025 23:29:11 GMT+0800 (Philippine Standard Time),,205,8 x1@8,cash received:8 change:0
152,T-08-20251209153825-8594,8.00,completed,Tue Dec 09 2025 23:40:50 GMT+0800 (Philippine Standard Time),Tue Dec 09 2025 23:43:00 GMT+0800 (Philippine Standard Time),9,206,8 x1@8,cash received:8 change:0
155,T-08-20251210032628-1423,16.00,completed,Wed Dec 10 2025 11:27:54 GMT+0800 (Philippine Standard Time),Wed Dec 10 2025 11:28:26 GMT+0800 (Philippine Standard Time),9,209,8 x2@8,cash received:16 change:0
